Designator,Mid X,Mid Y,Rotation,Layer
C1,164.0,-92.5,0.0,top
C10,151.775,-81.5,180.0,top
C11,122.775,-106.5,0.0,top
C12,148.275,-81.5,180.0,top
C13,174.5,-92.0,0.0,top
C14,146.725,-107.0,0.0,top
C2,169.0,-96.0,180.0,top
C3,155.0,-94.0,180.0,top
C4,146.775,-108.5,0.0,top
C5,137.715,-108.5,0.0,top
C6,122.775,-104.5,180.0,top
C7,170.5,-92.0,0.0,top
C8,133.725,-102.5,180.0,top
C9,178.0,-86.0,180.0,top
D2,171.22,-84.4,0.0,top
D3,171.0,-111.0,180.0,top
D4,169.4,-102.0,0.0,top
F1,159.0,-99.0,180.0,top
J1,161.75,-110.0,0.0,top
J2,142.0,-88.0,90.0,top
J4,181.5,-91.0,270.0,top
J5,181.5,-102.5,90.0,top
J6,181.5,-83.0,90.0,top
R1,173.0,-98.5,180.0,top
R10,174.5,-90.0,0.0,top
R11,174.5,-86.0,180.0,top
R12,150.5,-101.5,0.0,top
R13,123.665,-84.5,0.0,top
R14,150.5,-103.5,0.0,top
R15,127.175,-104.5,180.0,top
R16,148.0,-94.0,0.0,top
R17,151.5,-94.0,0.0,top
R18,170.5,-90.0,0.0,top
R19,170.5,-88.0,180.0,top
R2,173.0,-96.0,0.0,top
R20,164.0,-90.5,180.0,top
R21,171.0,-107.5,0.0,top
R22,130.5,-91.5,0.0,top
R3,165.0,-97.5,0.0,top
R4,150.5,-105.5,180.0,top
R5,165.0,-99.0,0.0,top
R6,171.0,-105.5,0.0,top
R7,155.0,-96.5,180.0,top
R8,174.5,-88.0,180.0,top
R9,127.175,-106.5,0.0,top
S1,132.0,-106.0,0.0,top
S3,132.05,-84.3,180.0,top
U1,117.24,-95.45,90.0,top
U2,142.49,-105.5,180.0,top
U3,161.0,-95.5,180.0,top
U4,151.0,-98.0,0.0,top
